Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,season,Name
1,1,10/26/1984,21-252,CHI,WSB,1,40:00:00,5,16,0.313,0,0,,6,7,0.857,1,5,6,7,2,4,5,2,16,12.5,season_1,MJ
2,2,10/27/1984,21-253,CHI,MIL,1,34:00:00,8,13,0.615,0,0,,5,5,1,3,2,5,5,2,1,3,4,21,19.4,season_1,MJ
3,3,10/29/1984,21-255,CHI,MIL,1,34:00:00,13,24,0.542,0,0,,11,13,0.846,2,2,4,5,6,2,3,4,37,32.9,season_1,MJ
4,4,10/30/1984,21-256,CHI,KCK,1,36:00:00,8,21,0.381,0,0,,9,9,1,2,2,4,5,3,1,6,5,25,14.7,season_1,MJ
5,5,11/1/1984,21-258,CHI,DEN,1,33:00:00,7,15,0.467,0,0,,3,4,0.75,3,2,5,5,1,1,2,4,17,13.2,season_1,MJ
6,6,11/7/1984,21-264,CHI,DET,1,27:00:00,9,19,0.474,0,0,,7,9,0.778,1,3,4,3,3,1,5,5,25,14.9,season_1,MJ
7,7,11/8/1984,21-265,CHI,NYK,1,33:00:00,15,22,0.682,0,0,,3,4,0.75,4,4,8,5,3,2,5,2,33,29.3,season_1,MJ
8,8,11/10/1984,21-267,CHI,IND,1,42:00:00,9,22,0.409,0,0,,9,12,0.75,2,7,9,4,2,5,3,4,27,21.2,season_1,MJ
9,9,11/13/1984,21-270,CHI,SAS,1,43:00:00,18,27,0.667,1,1,1,8,11,0.727,2,8,10,4,3,2,4,4,45,37.5,season_1,MJ
10,10,11/15/1984,21-272,CHI,BOS,1,33:00:00,12,24,0.5,0,1,0,3,3,1,0,2,2,2,2,1,1,4,27,17.1,season_1,MJ
11,11,11/17/1984,21-274,CHI,PHI,1,44:00:00,4,17,0.235,0,0,,8,8,1,0,5,5,7,5,2,4,5,16,12.5,season_1,MJ
12,12,11/19/1984,21-276,CHI,IND,1,39:00:00,11,26,0.423,0,3,0,12,16,0.75,2,3,5,2,2,1,3,3,34,20.8,season_1,MJ
13,13,11/21/1984,21-278,CHI,MIL,1,42:00:00,11,22,0.5,0,0,,13,14,0.929,4,9,13,2,2,2,6,3,35,26.7,season_1,MJ
14,14,11/23/1984,21-280,CHI,SEA,1,30:00:00,9,13,0.692,0,0,,5,6,0.833,0,4,4,3,4,1,4,4,23,19.5,season_1,MJ
15,15,11/24/1984,21-281,CHI,POR,1,41:00:00,10,24,0.417,0,1,0,10,10,1,3,3,6,8,3,1,4,4,30,23.9,season_1,MJ
16,16,11/27/1984,21-284,CHI,GSW,1,24:00:00,6,10,0.6,0,0,,1,1,1,0,2,2,3,3,2,4,1,13,11.1,season_1,MJ
17,17,11/29/1984,21-286,CHI,PHO,1,30:00:00,9,17,0.529,1,1,1,3,4,0.75,1,2,3,2,2,0,2,5,22,14,season_1,MJ
18,18,11/30/1984,21-287,CHI,LAC,1,37:00:00,9,15,0.6,0,0,,2,4,0.5,2,3,5,5,3,0,4,4,20,15.5,season_1,MJ
19,19,12/2/1984,21-289,CHI,LAL,1,42:00:00,7,13,0.538,0,0,,6,8,0.75,2,0,2,3,1,1,4,3,20,12.9,season_1,MJ
20,20,12/4/1984,21-291,CHI,NJN,1,35:00:00,7,13,0.538,0,0,,6,6,1,1,2,3,6,1,0,3,3,20,16,season_1,MJ
21,21,12/7/1984,21-294,CHI,NYK,1,43:00:00,8,16,0.5,0,1,0,5,7,0.714,1,1,2,3,2,0,6,5,21,9.3,season_1,MJ
22,22,12/8/1984,21-295,CHI,DAL,1,35:00:00,10,23,0.435,0,0,,0,0,,4,3,7,2,0,2,2,3,20,11.2,season_1,MJ
23,23,12/11/1984,21-298,CHI,DET,1,37:00:00,13,28,0.464,0,1,0,1,3,0.333,1,7,8,6,2,0,3,4,27,16.2,season_1,MJ
24,24,12/12/1984,21-299,CHI,DET,1,30:00:00,6,17,0.353,0,2,0,9,10,0.9,0,1,1,2,2,1,1,5,21,12.5,season_1,MJ
25,25,12/14/1984,21-301,CHI,NJN,1,44:00:00,12,25,0.48,0,0,,10,10,1,2,6,8,8,1,0,0,4,34,29.5,season_1,MJ
26,26,12/15/1984,21-302,CHI,PHI,1,27:00:00,7,16,0.438,0,0,,0,0,,1,1,2,2,1,0,1,2,14,7.2,season_1,MJ
